,precision,recall,f1-score,support
Investment_High,0.8,0.7407407407407407,0.7692307692307693,108.0
Investment_Low,0.46551724137931033,0.5242718446601942,0.4931506849315068,103.0
Speculative,0.7268518518518519,0.6916299559471366,0.708803611738149,227.0
Distressed,0.8333333333333334,0.8641975308641975,0.8484848484848485,162.0
accuracy,0.7183333333333334,0.7183333333333334,0.7183333333333334,0.7183333333333334
macro avg,0.7064256066411239,0.7052100180530673,0.7049174785963185,600.0
weighted avg,0.7239060770540656,0.7183333333333334,0.7203740149066227,600.0
