,precision,recall,f1-score,support
Investment_High,0.9848024316109423,1.0,0.9923430321592649,324.0
Investment_Low,0.9976525821596244,0.9883720930232558,0.9929906542056075,430.0
Speculative,0.9960079840319361,0.9842209072978304,0.9900793650793651,507.0
Distressed,0.8703703703703703,0.9591836734693877,0.912621359223301,49.0
accuracy,0.9885496183206107,0.9885496183206107,0.9885496183206107,0.9885496183206107
macro avg,0.9622083420432183,0.9829441684476184,0.9720086026668846,1310.0
weighted avg,0.9890769421549034,0.9885496183206107,0.9886975636833534,1310.0
