,precision,recall,f1-score,support
Investment_High,0.44805194805194803,0.7040816326530612,0.5476190476190477,98.0
Investment_Low,0.5,0.29850746268656714,0.37383177570093457,134.0
Speculative,0.6233766233766234,0.6037735849056604,0.6134185303514377,159.0
Distressed,0.16666666666666666,0.2,0.18181818181818182,15.0
accuracy,0.5123152709359606,0.5123152709359606,0.5123152709359606,0.5123152709359606
macro avg,0.43452380952380953,0.4515906700613222,0.42917188387240046,406.0
weighted avg,0.5234629902117587,0.5123152709359606,0.5025146395658701,406.0
