,precision,recall,f1-score,support
Investment_High,0.9958677685950413,0.9938144329896907,0.9948400412796697,485.0
Investment_Low,0.9939759036144579,0.9969788519637462,0.995475113122172,662.0
Speculative,0.9987163029525032,0.9974358974358974,0.9980756895445798,780.0
Distressed,0.9859154929577465,0.9859154929577465,0.9859154929577465,71.0
accuracy,0.995995995995996,0.995995995995996,0.995995995995996,0.995995995995996
macro avg,0.9936188670299372,0.9935361688367702,0.993576584226042,1998.0
weighted avg,0.9959993154476069,0.995995995995996,0.995996487864009,1998.0
