,precision,recall,f1-score,support
Investment_High,0.9142857142857143,0.9696969696969697,0.9411764705882353,33.0
Investment_Low,0.8904109589041096,0.9285714285714286,0.9090909090909091,70.0
Speculative,0.9560439560439561,0.8969072164948454,0.925531914893617,97.0
Distressed,0.5,0.6666666666666666,0.5714285714285714,3.0
accuracy,0.916256157635468,0.916256157635468,0.916256157635468,0.916256157635468
macro avg,0.815185157308445,0.8654605703574776,0.836806966500333,203.0
weighted avg,0.9198840366058127,0.916256157635468,0.9171727518460194,203.0
