,precision,recall,f1-score,support
Investment_High,0.43119266055045874,0.47959183673469385,0.45410628019323673,98.0
Investment_Low,0.49242424242424243,0.48507462686567165,0.48872180451127817,134.0
Speculative,0.6524822695035462,0.5786163522012578,0.6133333333333333,159.0
Distressed,0.16666666666666666,0.26666666666666666,0.20512820512820512,15.0
accuracy,0.5123152709359606,0.5123152709359606,0.5123152709359606,0.5123152709359606
macro avg,0.43569145978622853,0.45248737061707245,0.4403224057915133,406.0
weighted avg,0.5282916504183677,0.5123152709359606,0.5186898037940185,406.0
